sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,67.19112502,36.73134443,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,67.19112502,36.73134443,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,67.19112502,36.73134443,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.704,67.18301314,36.72738517,0..30cm,18.0,7.0,26.0,56.0,36.0,78.0,26.0,11.0,41.0,1410.0,1260.0,1630.0,2.4,1.1,4.8,8.4,7.8,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.704,67.18301314,36.72738517,30..60cm,18.0,2.0,32.0,59.0,27.0,90.0,24.0,6.0,45.0,1400.0,1160.0,1680.0,1.9,0.4,6.0,8.7,7.8,9.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.704,67.18301314,36.72738517,60..100cm,18.0,3.0,33.0,57.0,26.0,90.0,24.0,4.0,45.0,1450.0,1200.0,1690.0,1.8,0.4,5.9,8.9,7.8,10.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.407,67.17336195,36.72450572,0..30cm,20.0,11.0,30.0,47.0,27.0,70.0,32.0,15.0,49.0,1400.0,1250.0,1570.0,3.3,1.7,6.1,8.2,7.7,8.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.407,67.17336195,36.72450572,30..60cm,22.0,3.0,34.0,49.0,16.0,85.0,30.0,8.0,48.0,1400.0,1220.0,1660.0,2.5,1.0,6.8,8.5,7.8,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.407,67.17336195,36.72450572,60..100cm,23.0,4.0,36.0,48.0,17.0,83.0,29.0,8.0,49.0,1460.0,1230.0,1690.0,2.3,0.6,5.9,8.7,8.0,9.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2999.111,67.16364699,36.72162626,0..30cm,21.0,11.0,31.0,46.0,24.0,70.0,34.0,17.0,50.0,1410.0,1260.0,1570.0,3.7,1.9,7.3,8.1,7.6,8.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2999.111,67.16364699,36.72162626,30..60cm,23.0,10.0,37.0,45.0,12.0,71.0,32.0,14.0,49.0,1400.0,1230.0,1580.0,2.4,0.8,6.0,8.5,7.7,9.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2999.111,67.16364699,36.72162626,60..100cm,24.0,13.0,38.0,45.0,17.0,73.0,31.0,12.0,49.0,1440.0,1230.0,1670.0,2.1,0.7,4.0,8.7,7.8,9.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3998.815,67.15393235,36.7187468,0..30cm,22.0,12.0,29.0,42.0,21.0,63.0,36.0,22.0,50.0,1410.0,1250.0,1580.0,3.6,1.6,7.3,8.1,7.6,8.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3998.815,67.15393235,36.7187468,30..60cm,24.0,9.0,36.0,42.0,10.0,69.0,35.0,20.0,50.0,1430.0,1260.0,1580.0,2.3,1.0,5.2,8.6,7.8,9.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3998.815,67.15393235,36.7187468,60..100cm,24.0,9.0,37.0,42.0,11.0,69.0,34.0,18.0,50.0,1470.0,1280.0,1640.0,1.9,0.8,3.7,8.8,7.8,9.8
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4998.519,67.14484996,36.71622727,0..30cm,21.0,10.0,33.0,41.0,16.0,62.0,38.0,22.0,54.0,1380.0,1240.0,1560.0,5.3,2.6,9.8,8.0,7.4,8.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4998.519,67.14484996,36.71622727,30..60cm,23.0,10.0,36.0,40.0,14.0,66.0,37.0,20.0,49.0,1430.0,1250.0,1610.0,3.3,1.8,5.0,8.3,7.6,9.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4998.519,67.14484996,36.71622727,60..100cm,23.0,10.0,33.0,41.0,14.0,66.0,36.0,19.0,48.0,1440.0,1240.0,1620.0,2.3,1.3,3.3,8.3,7.5,9.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5998.222,67.13512495,36.71336917,0..30cm,21.0,10.0,33.0,41.0,16.0,63.0,38.0,21.0,58.0,1380.0,1260.0,1540.0,3.2,1.6,6.4,8.1,7.7,8.6
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5998.222,67.13512495,36.71336917,30..60cm,22.0,8.0,35.0,41.0,12.0,68.0,37.0,17.0,52.0,1420.0,1240.0,1550.0,2.2,1.0,4.7,8.4,7.7,9.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5998.222,67.13512495,36.71336917,60..100cm,23.0,10.0,33.0,42.0,12.0,68.0,36.0,16.0,56.0,1450.0,1240.0,1660.0,1.9,0.7,3.7,8.6,7.8,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6997.926,67.12505248,36.71154815,0..30cm,21.0,11.0,31.0,39.0,16.0,59.0,40.0,24.0,53.0,1390.0,1240.0,1560.0,3.8,1.8,7.7,8.0,7.6,8.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6997.926,67.12505248,36.71154815,30..60cm,22.0,11.0,34.0,40.0,16.0,66.0,38.0,19.0,50.0,1440.0,1300.0,1600.0,2.6,1.2,4.6,8.3,7.5,9.0
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6997.926,67.12505248,36.71154815,60..100cm,23.0,11.0,32.0,40.0,16.0,66.0,37.0,19.0,50.0,1470.0,1280.0,1660.0,2.1,0.7,4.0,8.4,7.5,9.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7976.85,67.11492584,36.70992612,0..30cm,18.0,8.0,28.0,47.0,27.0,69.0,35.0,17.0,49.0,1410.0,1280.0,1540.0,3.3,1.4,7.2,8.1,7.6,8.7
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7976.85,67.11492584,36.70992612,30..60cm,19.0,7.0,34.0,48.0,20.0,74.0,33.0,15.0,46.0,1450.0,1280.0,1600.0,2.2,0.8,4.8,8.5,7.6,9.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7976.85,67.11492584,36.70992612,60..100cm,20.0,7.0,32.0,48.0,25.0,74.0,32.0,13.0,45.0,1490.0,1280.0,1680.0,1.9,0.7,4.0,8.6,7.8,9.8
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7997.63,67.11476112,36.70979384,0..30cm,18.0,8.0,28.0,47.0,27.0,69.0,35.0,17.0,49.0,1410.0,1280.0,1540.0,3.3,1.4,7.2,8.1,7.6,8.7
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7997.63,67.11476112,36.70979384,30..60cm,19.0,7.0,34.0,48.0,20.0,74.0,33.0,15.0,46.0,1450.0,1280.0,1600.0,2.2,0.8,4.8,8.5,7.6,9.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7997.63,67.11476112,36.70979384,60..100cm,20.0,7.0,32.0,48.0,25.0,74.0,32.0,13.0,45.0,1490.0,1280.0,1680.0,1.9,0.7,4.0,8.6,7.8,9.8
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,8997.333,67.11006564,36.71261326,0..30cm,19.0,8.0,33.0,45.0,20.0,68.0,36.0,18.0,49.0,1410.0,1280.0,1540.0,2.9,1.3,5.9,8.1,7.6,8.8
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,8997.333,67.11006564,36.71261326,30..60cm,21.0,7.0,36.0,44.0,14.0,72.0,35.0,17.0,49.0,1450.0,1260.0,1620.0,1.9,0.6,4.8,8.5,7.7,9.5
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,8997.333,67.11006564,36.71261326,60..100cm,22.0,7.0,38.0,44.0,14.0,72.0,34.0,17.0,48.0,1480.0,1280.0,1680.0,1.6,0.4,3.8,8.6,7.8,9.8
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,9997.037,67.10401897,36.71640724,0..30cm,20.0,10.0,36.0,42.0,20.0,65.0,38.0,17.0,52.0,1400.0,1270.0,1550.0,3.6,1.6,7.3,8.0,7.4,8.6
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,9997.037,67.10401897,36.71640724,30..60cm,22.0,7.0,35.0,41.0,9.0,68.0,37.0,18.0,49.0,1450.0,1290.0,1570.0,2.3,1.0,5.2,8.4,7.6,9.3
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,9997.037,67.10401897,36.71640724,60..100cm,22.0,8.0,34.0,42.0,10.0,68.0,36.0,16.0,52.0,1480.0,1250.0,1670.0,1.8,0.7,3.7,8.6,7.8,9.7
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,10996.741,67.0937177,36.71467108,0..30cm,20.0,10.0,31.0,43.0,16.0,70.0,37.0,18.0,49.0,1410.0,1280.0,1580.0,3.5,1.9,7.1,8.1,7.5,8.7
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,10996.741,67.0937177,36.71467108,30..60cm,21.0,7.0,36.0,43.0,16.0,74.0,36.0,18.0,49.0,1450.0,1280.0,1630.0,2.3,1.0,5.1,8.4,7.6,9.3
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,10996.741,67.0937177,36.71467108,60..100cm,22.0,8.0,34.0,44.0,16.0,74.0,35.0,13.0,49.0,1490.0,1280.0,1670.0,1.8,0.7,3.6,8.6,7.8,9.7
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,11996.444,67.08369915,36.71431091,0..30cm,20.0,10.0,30.0,44.0,21.0,68.0,36.0,22.0,48.0,1410.0,1280.0,1580.0,3.4,1.9,5.9,8.1,7.7,8.5
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,11996.444,67.08369915,36.71431091,30..60cm,22.0,12.0,33.0,43.0,20.0,67.0,35.0,17.0,47.0,1450.0,1300.0,1640.0,2.5,1.0,5.5,8.5,7.9,9.2
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,11996.444,67.08369915,36.71431091,60..100cm,23.0,12.0,35.0,43.0,17.0,67.0,35.0,17.0,47.0,1470.0,1280.0,1670.0,2.0,0.7,3.9,8.6,7.8,9.4
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,12996.148,67.07413852,36.71712936,0..30cm,20.0,9.0,34.0,43.0,18.0,70.0,36.0,17.0,52.0,1410.0,1280.0,1580.0,3.8,2.0,7.4,8.1,7.6,8.7
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,12996.148,67.07413852,36.71712936,30..60cm,22.0,8.0,36.0,43.0,14.0,71.0,35.0,17.0,48.0,1470.0,1300.0,1630.0,2.2,0.9,5.2,8.6,7.7,9.3
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,12996.148,67.07413852,36.71712936,60..100cm,22.0,10.0,35.0,43.0,12.0,72.0,35.0,17.0,50.0,1500.0,1290.0,1690.0,1.8,0.6,3.6,8.7,7.8,9.7
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,13995.852,67.06457769,36.71994799,0..30cm,21.0,12.0,33.0,46.0,24.0,68.0,32.0,17.0,49.0,1400.0,1270.0,1540.0,3.9,1.9,8.3,8.1,7.5,8.6
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,13995.852,67.06457769,36.71994799,30..60cm,22.0,9.0,35.0,46.0,15.0,75.0,32.0,14.0,50.0,1410.0,1180.0,1580.0,2.6,0.8,6.3,8.4,7.8,9.1
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,13995.852,67.06457769,36.71994799,60..100cm,23.0,9.0,38.0,45.0,12.0,75.0,32.0,13.0,50.0,1450.0,1230.0,1670.0,2.1,0.6,5.0,8.5,7.8,9.3
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,14995.556,67.05488575,36.7228719,0..30cm,22.0,11.0,32.0,46.0,29.0,65.0,33.0,20.0,48.0,1400.0,1240.0,1540.0,5.8,2.7,9.7,8.1,7.5,8.8
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,14995.556,67.05488575,36.7228719,30..60cm,21.0,8.0,32.0,47.0,27.0,71.0,32.0,19.0,49.0,1410.0,1200.0,1560.0,3.9,1.8,7.8,8.4,7.8,9.1
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,14995.556,67.05488575,36.7228719,60..100cm,22.0,7.0,33.0,47.0,26.0,73.0,32.0,18.0,50.0,1420.0,1230.0,1610.0,2.8,1.4,5.2,8.5,7.8,9.4
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,15953.7,67.04702443,36.72630538,0..30cm,20.0,11.0,30.0,49.0,32.0,70.0,31.0,17.0,45.0,1400.0,1240.0,1540.0,3.5,1.7,7.0,8.2,7.6,8.9
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,15953.7,67.04702443,36.72630538,30..60cm,20.0,5.0,32.0,50.0,26.0,75.0,30.0,15.0,49.0,1410.0,1190.0,1650.0,2.1,0.6,5.6,8.6,7.9,9.4
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,15953.7,67.04702443,36.72630538,60..100cm,21.0,5.0,33.0,49.0,26.0,78.0,31.0,14.0,51.0,1450.0,1230.0,1690.0,1.5,0.4,3.9,8.8,7.8,9.6
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,67.20882945,36.70560927,0..30cm,23.0,12.0,33.0,46.0,26.0,68.0,31.0,16.0,45.0,1410.0,1240.0,1540.0,3.8,2.0,7.1,7.9,7.4,8.5
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,67.20882945,36.70560927,30..60cm,24.0,8.0,38.0,51.0,21.0,76.0,26.0,10.0,42.0,1420.0,1190.0,1640.0,2.7,1.0,6.2,8.0,7.2,8.8
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,67.20882945,36.70560927,60..100cm,25.0,7.0,41.0,51.0,21.0,76.0,24.0,5.0,44.0,1450.0,1110.0,1670.0,2.3,0.5,4.8,8.0,7.4,9.1
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1042.428,67.20748481,36.71406484,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1042.428,67.20748481,36.71406484,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1042.428,67.20748481,36.71406484,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2084.856,67.19929475,36.71527837,0..30cm,24.0,11.0,33.0,44.0,25.0,64.0,32.0,19.0,46.0,1390.0,1190.0,1620.0,5.0,2.5,8.5,7.9,7.2,8.5
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2084.856,67.19929475,36.71527837,30..60cm,26.0,12.0,39.0,45.0,19.0,66.0,29.0,15.0,41.0,1430.0,1210.0,1620.0,2.6,1.1,5.1,8.1,7.3,8.9
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2084.856,67.19929475,36.71527837,60..100cm,27.0,12.0,41.0,46.0,19.0,71.0,27.0,8.0,41.0,1450.0,1210.0,1700.0,2.2,0.9,4.7,8.3,7.5,9.1
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3127.284,67.18866678,36.71334781,0..30cm,23.0,13.0,32.0,45.0,26.0,70.0,32.0,17.0,46.0,1420.0,1260.0,1610.0,3.9,2.0,8.5,7.9,7.2,8.4
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3127.284,67.18866678,36.71334781,30..60cm,24.0,8.0,35.0,47.0,16.0,76.0,29.0,10.0,46.0,1430.0,1130.0,1670.0,2.5,0.8,5.7,8.2,7.5,9.0
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3127.284,67.18866678,36.71334781,60..100cm,25.0,9.0,39.0,47.0,18.0,76.0,28.0,5.0,49.0,1450.0,1170.0,1690.0,2.0,0.5,4.4,8.3,7.6,9.2
segment:line-2-civil-002:0004,civil_segment,line-2-civil-002,line-2,at-grade,3483.8,67.18505205,36.71261908,0..30cm,24.0,15.0,33.0,43.0,22.0,64.0,34.0,20.0,45.0,1420.0,1240.0,1610.0,3.5,2.2,6.1,8.2,7.7,8.8
segment:line-2-civil-002:0004,civil_segment,line-2-civil-002,line-2,at-grade,3483.8,67.18505205,36.71261908,30..60cm,24.0,12.0,36.0,46.0,14.0,75.0,30.0,10.0,48.0,1420.0,1180.0,1640.0,2.3,0.8,4.5,8.4,7.7,9.2
segment:line-2-civil-002:0004,civil_segment,line-2-civil-002,line-2,at-grade,3483.8,67.18505205,36.71261908,60..100cm,25.0,12.0,35.0,45.0,12.0,77.0,29.0,7.0,51.0,1450.0,1210.0,1670.0,2.0,0.8,4.0,8.6,7.8,9.7
segment:line-2-civil-002:0005,civil_segment,line-2-civil-002,line-2,at-grade,4169.713,67.17814029,36.71119903,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-2-civil-002:0005,civil_segment,line-2-civil-002,line-2,at-grade,4169.713,67.17814029,36.71119903,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-2-civil-002:0005,civil_segment,line-2-civil-002,line-2,at-grade,4169.713,67.17814029,36.71119903,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-2-civil-002:0006,civil_segment,line-2-civil-002,line-2,at-grade,5212.141,67.16757252,36.70956852,0..30cm,20.0,11.0,27.0,45.0,20.0,69.0,34.0,16.0,50.0,1410.0,1220.0,1570.0,3.6,1.8,6.0,7.8,7.2,8.6
segment:line-2-civil-002:0006,civil_segment,line-2-civil-002,line-2,at-grade,5212.141,67.16757252,36.70956852,30..60cm,22.0,7.0,30.0,46.0,19.0,75.0,32.0,14.0,48.0,1430.0,1250.0,1570.0,2.7,1.1,6.6,8.1,7.4,9.2
segment:line-2-civil-002:0006,civil_segment,line-2-civil-002,line-2,at-grade,5212.141,67.16757252,36.70956852,60..100cm,22.0,7.0,35.0,47.0,18.0,77.0,31.0,10.0,53.0,1460.0,1280.0,1630.0,2.1,0.7,3.9,8.2,7.4,9.2
segment:line-2-civil-002:0007,civil_segment,line-2-civil-002,line-2,at-grade,6254.569,67.15720632,36.70780042,0..30cm,22.0,12.0,30.0,39.0,20.0,61.0,39.0,25.0,53.0,1400.0,1230.0,1600.0,4.7,2.2,9.8,8.2,7.7,8.7
segment:line-2-civil-002:0007,civil_segment,line-2-civil-002,line-2,at-grade,6254.569,67.15720632,36.70780042,30..60cm,23.0,11.0,35.0,40.0,17.0,66.0,37.0,19.0,51.0,1430.0,1290.0,1560.0,2.8,1.3,5.9,8.4,7.7,9.1
segment:line-2-civil-002:0007,civil_segment,line-2-civil-002,line-2,at-grade,6254.569,67.15720632,36.70780042,60..100cm,24.0,11.0,35.0,40.0,16.0,66.0,36.0,18.0,53.0,1450.0,1280.0,1610.0,2.0,0.9,3.9,8.4,7.8,9.2
segment:line-2-civil-002:0008,civil_segment,line-2-civil-002,line-2,at-grade,6967.6,67.15131299,36.70567267,0..30cm,21.0,12.0,28.0,40.0,17.0,64.0,38.0,22.0,53.0,1390.0,1230.0,1570.0,3.9,1.9,7.1,8.0,7.5,8.5
segment:line-2-civil-002:0008,civil_segment,line-2-civil-002,line-2,at-grade,6967.6,67.15131299,36.70567267,30..60cm,23.0,12.0,34.0,41.0,16.0,67.0,36.0,18.0,52.0,1430.0,1320.0,1550.0,2.7,1.3,5.7,8.3,7.6,9.0
segment:line-2-civil-002:0008,civil_segment,line-2-civil-002,line-2,at-grade,6967.6,67.15131299,36.70567267,60..100cm,23.0,12.0,33.0,42.0,17.0,68.0,34.0,13.0,53.0,1460.0,1290.0,1650.0,2.0,0.9,4.1,8.4,7.8,9.2
segment:line-2-civil-003:0000,civil_segment,line-2-civil-003,line-2,elevated,6967.6,67.15131299,36.70567267,0..30cm,21.0,12.0,28.0,40.0,17.0,64.0,38.0,22.0,53.0,1390.0,1230.0,1570.0,3.9,1.9,7.1,8.0,7.5,8.5
segment:line-2-civil-003:0000,civil_segment,line-2-civil-003,line-2,elevated,6967.6,67.15131299,36.70567267,30..60cm,23.0,12.0,34.0,41.0,16.0,67.0,36.0,18.0,52.0,1430.0,1320.0,1550.0,2.7,1.3,5.7,8.3,7.6,9.0
segment:line-2-civil-003:0000,civil_segment,line-2-civil-003,line-2,elevated,6967.6,67.15131299,36.70567267,60..100cm,23.0,12.0,33.0,42.0,17.0,68.0,34.0,13.0,53.0,1460.0,1290.0,1650.0,2.0,0.9,4.1,8.4,7.8,9.2
segment:line-2-civil-003:0001,civil_segment,line-2-civil-003,line-2,elevated,7194.9,67.14966827,36.70461826,0..30cm,22.0,12.0,28.0,39.0,16.0,63.0,39.0,24.0,55.0,1390.0,1240.0,1550.0,3.5,1.7,7.1,8.1,7.7,8.6
segment:line-2-civil-003:0001,civil_segment,line-2-civil-003,line-2,elevated,7194.9,67.14966827,36.70461826,30..60cm,23.0,12.0,34.0,40.0,16.0,66.0,37.0,18.0,54.0,1430.0,1290.0,1560.0,2.4,1.1,5.0,8.4,7.6,9.2
segment:line-2-civil-003:0001,civil_segment,line-2-civil-003,line-2,elevated,7194.9,67.14966827,36.70461826,60..100cm,24.0,12.0,33.0,41.0,16.0,67.0,35.0,13.0,54.0,1440.0,1240.0,1640.0,2.0,0.7,4.3,8.5,7.8,9.5
segment:line-2-civil-003:0002,civil_segment,line-2-civil-003,line-2,elevated,7422.2,67.14743768,36.70497398,0..30cm,22.0,11.0,30.0,40.0,16.0,65.0,39.0,22.0,56.0,1390.0,1240.0,1550.0,4.4,2.1,9.0,8.1,7.6,8.5
segment:line-2-civil-003:0002,civil_segment,line-2-civil-003,line-2,elevated,7422.2,67.14743768,36.70497398,30..60cm,23.0,12.0,34.0,40.0,14.0,68.0,37.0,17.0,55.0,1430.0,1320.0,1540.0,2.7,1.3,5.2,8.3,7.6,9.0
segment:line-2-civil-003:0002,civil_segment,line-2-civil-003,line-2,elevated,7422.2,67.14743768,36.70497398,60..100cm,23.0,12.0,33.0,41.0,16.0,69.0,35.0,13.0,54.0,1450.0,1280.0,1620.0,2.0,1.0,3.8,8.3,7.5,9.2
segment:line-2-civil-004:0000,civil_segment,line-2-civil-004,line-2,at-grade,7422.2,67.14743768,36.70497398,0..30cm,22.0,11.0,30.0,40.0,16.0,65.0,39.0,22.0,56.0,1390.0,1240.0,1550.0,4.4,2.1,9.0,8.1,7.6,8.5
segment:line-2-civil-004:0000,civil_segment,line-2-civil-004,line-2,at-grade,7422.2,67.14743768,36.70497398,30..60cm,23.0,12.0,34.0,40.0,14.0,68.0,37.0,17.0,55.0,1430.0,1320.0,1540.0,2.7,1.3,5.2,8.3,7.6,9.0
segment:line-2-civil-004:0000,civil_segment,line-2-civil-004,line-2,at-grade,7422.2,67.14743768,36.70497398,60..100cm,23.0,12.0,33.0,41.0,16.0,69.0,35.0,13.0,54.0,1450.0,1280.0,1620.0,2.0,1.0,3.8,8.3,7.5,9.2
segment:line-2-civil-004:0001,civil_segment,line-2-civil-004,line-2,at-grade,8464.496,67.13692146,36.7043738,0..30cm,22.0,10.0,33.0,37.0,13.0,62.0,41.0,25.0,56.0,1400.0,1270.0,1530.0,4.8,2.6,8.6,8.0,7.4,8.5
segment:line-2-civil-004:0001,civil_segment,line-2-civil-004,line-2,at-grade,8464.496,67.13692146,36.7043738,30..60cm,23.0,10.0,36.0,39.0,13.0,64.0,38.0,20.0,56.0,1450.0,1310.0,1550.0,3.3,1.9,5.4,8.3,7.5,9.0
segment:line-2-civil-004:0001,civil_segment,line-2-civil-004,line-2,at-grade,8464.496,67.13692146,36.7043738,60..100cm,24.0,10.0,35.0,39.0,13.0,64.0,37.0,19.0,56.0,1470.0,1280.0,1620.0,2.3,1.0,3.8,8.4,7.5,9.2
segment:line-2-civil-004:0002,civil_segment,line-2-civil-004,line-2,at-grade,9503.45,67.12737294,36.70057022,0..30cm,21.0,12.0,28.0,39.0,15.0,65.0,40.0,21.0,57.0,1380.0,1230.0,1530.0,3.4,1.6,6.6,8.0,7.4,8.6
segment:line-2-civil-004:0002,civil_segment,line-2-civil-004,line-2,at-grade,9503.45,67.12737294,36.70057022,30..60cm,23.0,13.0,31.0,40.0,16.0,67.0,37.0,18.0,56.0,1430.0,1290.0,1560.0,2.5,1.0,5.2,8.3,7.5,9.0
segment:line-2-civil-004:0002,civil_segment,line-2-civil-004,line-2,at-grade,9503.45,67.12737294,36.70057022,60..100cm,23.0,13.0,33.0,41.0,17.0,67.0,35.0,17.0,54.0,1470.0,1280.0,1660.0,2.1,0.9,4.1,8.4,7.8,9.3
segment:line-2-civil-004:0003,civil_segment,line-2-civil-004,line-2,at-grade,9506.793,67.12733705,36.70057022,0..30cm,21.0,12.0,28.0,39.0,15.0,65.0,40.0,21.0,57.0,1380.0,1230.0,1530.0,3.4,1.6,6.6,8.0,7.4,8.6
segment:line-2-civil-004:0003,civil_segment,line-2-civil-004,line-2,at-grade,9506.793,67.12733705,36.70057022,30..60cm,23.0,13.0,31.0,40.0,16.0,67.0,37.0,18.0,56.0,1430.0,1290.0,1560.0,2.5,1.0,5.2,8.3,7.5,9.0
segment:line-2-civil-004:0003,civil_segment,line-2-civil-004,line-2,at-grade,9506.793,67.12733705,36.70057022,60..100cm,23.0,13.0,33.0,41.0,17.0,67.0,35.0,17.0,54.0,1470.0,1280.0,1660.0,2.1,0.9,4.1,8.4,7.8,9.3
segment:line-2-civil-004:0004,civil_segment,line-2-civil-004,line-2,at-grade,10549.089,67.11662009,36.69895052,0..30cm,19.0,10.0,27.0,44.0,25.0,65.0,37.0,21.0,52.0,1390.0,1270.0,1540.0,3.4,1.3,7.1,8.1,7.4,8.6
segment:line-2-civil-004:0004,civil_segment,line-2-civil-004,line-2,at-grade,10549.089,67.11662009,36.69895052,30..60cm,20.0,9.0,29.0,46.0,16.0,67.0,34.0,19.0,47.0,1440.0,1270.0,1580.0,2.2,0.7,6.5,8.3,7.5,9.0
