sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.08723295,29.00979922,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.08723295,29.00979922,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.08723295,29.00979922,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.288,31.09242389,29.01542388,0..30cm,17.0,5.0,27.0,61.0,40.0,87.0,22.0,8.0,35.0,1480.0,1380.0,1630.0,3.7,1.0,9.3,7.5,5.9,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.288,31.09242389,29.01542388,30..60cm,18.0,3.0,32.0,61.0,33.0,90.0,21.0,5.0,35.0,1520.0,1390.0,1670.0,1.8,0.1,6.6,7.6,5.7,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.288,31.09242389,29.01542388,60..100cm,17.0,3.0,32.0,62.0,33.0,91.0,21.0,5.0,35.0,1530.0,1300.0,1730.0,1.5,0.1,4.9,7.7,6.1,9.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.576,31.09479746,29.02077715,0..30cm,16.0,5.0,24.0,63.0,44.0,85.0,21.0,9.0,32.0,1480.0,1350.0,1640.0,4.9,2.0,8.5,7.5,5.9,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.576,31.09479746,29.02077715,30..60cm,15.0,3.0,25.0,67.0,42.0,94.0,18.0,4.0,31.0,1510.0,1370.0,1670.0,3.2,0.5,12.8,7.6,5.7,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.576,31.09479746,29.02077715,60..100cm,15.0,3.0,25.0,67.0,40.0,92.0,18.0,4.0,30.0,1540.0,1310.0,1750.0,2.5,0.1,11.5,7.7,5.7,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2997.863,31.08949399,29.02777875,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2997.863,31.08949399,29.02777875,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2997.863,31.08949399,29.02777875,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3997.151,31.09105433,29.03373472,0..30cm,16.0,5.0,24.0,64.0,46.0,84.0,20.0,9.0,33.0,1480.0,1340.0,1630.0,3.9,1.7,7.7,8.4,7.7,9.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3997.151,31.09105433,29.03373472,30..60cm,18.0,5.0,33.0,61.0,33.0,88.0,20.0,7.0,34.0,1520.0,1370.0,1690.0,2.4,0.5,9.8,8.6,8.1,9.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3997.151,31.09105433,29.03373472,60..100cm,19.0,4.0,33.0,60.0,31.0,88.0,21.0,7.0,35.0,1550.0,1300.0,1750.0,2.0,0.1,6.8,8.6,7.9,9.8
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4071.55,31.09168025,29.03402918,0..30cm,19.0,5.0,34.0,58.0,26.0,86.0,23.0,9.0,39.0,1450.0,1240.0,1620.0,3.5,1.3,7.1,7.9,7.1,8.8
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4071.55,31.09168025,29.03402918,30..60cm,21.0,5.0,37.0,55.0,26.0,87.0,23.0,8.0,41.0,1480.0,1270.0,1660.0,2.5,0.9,5.0,8.4,8.0,9.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4071.55,31.09168025,29.03402918,60..100cm,21.0,5.0,35.0,56.0,27.0,86.0,23.0,8.0,39.0,1500.0,1240.0,1740.0,1.7,0.5,3.7,8.3,8.0,9.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4996.439,31.09913096,29.03839297,0..30cm,19.0,5.0,34.0,58.0,27.0,86.0,24.0,10.0,41.0,1480.0,1350.0,1630.0,3.6,1.3,8.8,8.3,7.4,9.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4996.439,31.09913096,29.03839297,30..60cm,21.0,7.0,35.0,56.0,24.0,85.0,23.0,8.0,41.0,1530.0,1400.0,1670.0,2.0,0.1,6.5,8.6,8.2,9.6
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4996.439,31.09913096,29.03839297,60..100cm,21.0,6.0,34.0,56.0,24.0,84.0,23.0,8.0,43.0,1570.0,1350.0,1770.0,1.6,0.2,4.1,8.6,8.0,9.6
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5995.727,31.10712337,29.04323104,0..30cm,14.0,4.0,22.0,67.0,49.0,86.0,19.0,8.0,30.0,1490.0,1350.0,1660.0,4.1,1.5,9.4,8.3,7.5,9.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5995.727,31.10712337,29.04323104,30..60cm,17.0,5.0,30.0,63.0,37.0,88.0,19.0,7.0,33.0,1520.0,1360.0,1670.0,2.7,0.5,8.6,8.5,8.1,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5995.727,31.10712337,29.04323104,60..100cm,17.0,4.0,30.0,63.0,36.0,88.0,20.0,7.0,34.0,1540.0,1350.0,1760.0,1.9,0.3,6.7,8.5,7.9,9.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,6995.014,31.10525396,29.05053051,0..30cm,19.0,6.0,35.0,56.0,23.0,83.0,25.0,10.0,43.0,1440.0,1300.0,1580.0,3.7,1.1,7.3,8.3,7.4,9.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,6995.014,31.10525396,29.05053051,30..60cm,21.0,8.0,36.0,55.0,17.0,85.0,24.0,9.0,43.0,1480.0,1270.0,1690.0,1.8,0.3,3.8,8.2,7.2,9.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,6995.014,31.10525396,29.05053051,60..100cm,21.0,6.0,35.0,55.0,17.0,84.0,24.0,9.0,44.0,1520.0,1290.0,1740.0,1.5,0.3,3.1,8.2,7.4,9.7
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7994.302,31.09821056,29.05687724,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7994.302,31.09821056,29.05687724,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7994.302,31.09821056,29.05687724,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,8143.1,31.09782875,29.05793139,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,8143.1,31.09782875,29.05793139,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,8143.1,31.09782875,29.05793139,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,8143.1,31.09782875,29.05793139,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,8143.1,31.09782875,29.05793139,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,8143.1,31.09782875,29.05793139,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,8157.25,31.09772563,29.05802167,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,8157.25,31.09772563,29.05802167,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,8157.25,31.09772563,29.05802167,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,8171.4,31.09758404,29.05803015,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,8171.4,31.09758404,29.05803015,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,8171.4,31.09758404,29.05803015,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,8171.4,31.09758404,29.05803015,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,8171.4,31.09758404,29.05803015,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,8171.4,31.09758404,29.05803015,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,8770.8,31.09798558,29.06060578,0..30cm,18.0,6.0,30.0,60.0,32.0,84.0,22.0,9.0,37.0,1440.0,1250.0,1590.0,3.8,1.5,6.5,8.2,6.9,9.1
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,8770.8,31.09798558,29.06060578,30..60cm,21.0,7.0,34.0,57.0,30.0,84.0,22.0,8.0,37.0,1470.0,1320.0,1690.0,2.2,0.8,4.4,8.3,7.3,9.5
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,8770.8,31.09798558,29.06060578,60..100cm,21.0,7.0,34.0,56.0,27.0,84.0,23.0,8.0,37.0,1500.0,1240.0,1720.0,2.2,0.6,5.1,8.2,6.6,9.6
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,9170.518,31.09933195,29.06315187,0..30cm,17.0,8.0,28.0,60.0,43.0,79.0,22.0,12.0,32.0,1440.0,1280.0,1580.0,3.4,1.8,6.2,8.2,7.5,9.0
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,9170.518,31.09933195,29.06315187,30..60cm,19.0,9.0,31.0,59.0,36.0,81.0,22.0,10.0,32.0,1470.0,1330.0,1610.0,2.3,1.2,4.7,8.4,7.7,9.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,9170.518,31.09933195,29.06315187,60..100cm,19.0,9.0,30.0,58.0,36.0,81.0,22.0,11.0,34.0,1490.0,1340.0,1680.0,1.7,0.6,3.3,8.4,7.4,9.3
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,9370.2,31.10055074,29.06385404,0..30cm,16.0,6.0,26.0,63.0,45.0,85.0,21.0,8.0,34.0,1440.0,1270.0,1580.0,3.3,1.4,6.2,8.3,7.6,9.0
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,9370.2,31.10055074,29.06385404,30..60cm,18.0,6.0,30.0,62.0,36.0,85.0,20.0,8.0,34.0,1470.0,1320.0,1640.0,2.2,0.8,4.7,8.5,8.0,9.5
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,9370.2,31.10055074,29.06385404,60..100cm,18.0,6.0,30.0,61.0,36.0,84.0,21.0,8.0,35.0,1510.0,1340.0,1720.0,1.8,0.5,4.2,8.5,8.0,9.8
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,9370.2,31.10055074,29.06385404,0..30cm,16.0,6.0,26.0,63.0,45.0,85.0,21.0,8.0,34.0,1440.0,1270.0,1580.0,3.3,1.4,6.2,8.3,7.6,9.0
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,9370.2,31.10055074,29.06385404,30..60cm,18.0,6.0,30.0,62.0,36.0,85.0,20.0,8.0,34.0,1470.0,1320.0,1640.0,2.2,0.8,4.7,8.5,8.0,9.5
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,9370.2,31.10055074,29.06385404,60..100cm,18.0,6.0,30.0,61.0,36.0,84.0,21.0,8.0,35.0,1510.0,1340.0,1720.0,1.8,0.5,4.2,8.5,8.0,9.8
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,9384.35,31.10045493,29.063758,0..30cm,16.0,6.0,26.0,63.0,45.0,85.0,21.0,8.0,34.0,1440.0,1270.0,1580.0,3.3,1.4,6.2,8.3,7.6,9.0
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,9384.35,31.10045493,29.063758,30..60cm,18.0,6.0,30.0,62.0,36.0,85.0,20.0,8.0,34.0,1470.0,1320.0,1640.0,2.2,0.8,4.7,8.5,8.0,9.5
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,9384.35,31.10045493,29.063758,60..100cm,18.0,6.0,30.0,61.0,36.0,84.0,21.0,8.0,35.0,1510.0,1340.0,1720.0,1.8,0.5,4.2,8.5,8.0,9.8
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,9398.5,31.10035913,29.06366195,0..30cm,16.0,6.0,26.0,63.0,45.0,85.0,21.0,8.0,34.0,1440.0,1270.0,1580.0,3.3,1.4,6.2,8.3,7.6,9.0
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,9398.5,31.10035913,29.06366195,30..60cm,18.0,6.0,30.0,62.0,36.0,85.0,20.0,8.0,34.0,1470.0,1320.0,1640.0,2.2,0.8,4.7,8.5,8.0,9.5
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,9398.5,31.10035913,29.06366195,60..100cm,18.0,6.0,30.0,61.0,36.0,84.0,21.0,8.0,35.0,1510.0,1340.0,1720.0,1.8,0.5,4.2,8.5,8.0,9.8
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,at-grade,9398.5,31.10035913,29.06366195,0..30cm,16.0,6.0,26.0,63.0,45.0,85.0,21.0,8.0,34.0,1440.0,1270.0,1580.0,3.3,1.4,6.2,8.3,7.6,9.0
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,at-grade,9398.5,31.10035913,29.06366195,30..60cm,18.0,6.0,30.0,62.0,36.0,85.0,20.0,8.0,34.0,1470.0,1320.0,1640.0,2.2,0.8,4.7,8.5,8.0,9.5
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,at-grade,9398.5,31.10035913,29.06366195,60..100cm,18.0,6.0,30.0,61.0,36.0,84.0,21.0,8.0,35.0,1510.0,1340.0,1720.0,1.8,0.5,4.2,8.5,8.0,9.8
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,at-grade,9685.8,31.0992125,29.0618978,0..30cm,18.0,6.0,33.0,59.0,28.0,83.0,23.0,7.0,37.0,1450.0,1270.0,1600.0,3.6,1.0,9.7,8.3,7.7,9.0
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,at-grade,9685.8,31.0992125,29.0618978,30..60cm,21.0,7.0,35.0,57.0,25.0,85.0,22.0,8.0,38.0,1500.0,1360.0,1690.0,2.2,0.3,6.7,8.5,8.0,9.5
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,at-grade,9685.8,31.0992125,29.0618978,60..100cm,21.0,6.0,35.0,56.0,21.0,84.0,23.0,6.0,38.0,1540.0,1290.0,1750.0,1.7,0.2,4.0,8.4,7.7,9.5
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,at-grade,9973.1,31.09906503,29.05972844,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,at-grade,9973.1,31.09906503,29.05972844,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,at-grade,9973.1,31.09906503,29.05972844,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,elevated,9973.1,31.09906503,29.05972844,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,elevated,9973.1,31.09906503,29.05972844,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,elevated,9973.1,31.09906503,29.05972844,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,elevated,10015.5,31.09937366,29.05945822,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,elevated,10015.5,31.09937366,29.05945822,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,elevated,10015.5,31.09937366,29.05945822,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,elevated,10057.9,31.09968228,29.05918801,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,elevated,10057.9,31.09968228,29.05918801,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,elevated,10057.9,31.09968228,29.05918801,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,at-grade,10057.9,31.09968228,29.05918801,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,at-grade,10057.9,31.09968228,29.05918801,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,at-grade,10057.9,31.09968228,29.05918801,60..100cm,,,,,,,,,,,,,,,,,,
