manufacturing_uid,city,asset_id,asset_name,asset_type,line,package_id,phase,sequence,work_center,duration_days,planned_start_day,planned_finish_day,planned_start_basis,planned_finish_basis,predecessors,predecessor_uids,external_predecessors,work_order_title,work_order_detail,staff_roles,staff_tasks,materials_or_inputs,bom_refs,material_count,material_status,deliverables,evidence_required,release_authority,qa_gate_hint,qa_uid,verification_uid,verification_status,blocks_successors,status,priority,qa_hold_point
samawah:SAM-EN-004:en-10-energy-build,samawah,SAM-EN-004,energy site at line-1-0352-0525-s004655,energy,line-1,en-10-energy-build,energy,10,energy crew,10,45,54,project_day_45,project_day_54,sys-00-baseline-freeze,samawah:SAM-SYS-001:sys-00-baseline-freeze,,"PV, BESS, charger, switchgear, and earthing build","Install PV/BESS/charger equipment, protection, earthing, fire safety, and grid/PPA interface at the site.",electrical supervisor; PV technician; battery technician; quality technician,Install equipment; terminate protection; test earthing; inspect fire safety; record serials.,"PV kit, BESS kit, charger, switchgear, protection relays, earthing materials",project_kit:energy:pv-kit; project_kit:energy:bess-kit; project_kit:energy:charger; project_kit:energy:switchgear; project_kit:energy:protection-relays; project_kit:energy:earthing,6,required,energy site ready for commissioning,"earthing test, protection settings, equipment serials, fire-safety inspection",energy QA lead,qa-25-power-energy,samawah:SAM-EN-004:qa-25-power-energy,samawah:SAM-EN-004:en-10-energy-build:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
samawah:SAM-ST-002:st-10-civil-structure,samawah,SAM-ST-002,جامعة ساوة,station,line-1,st-10-civil-structure,stations,10,station civil crew,14,45,58,project_day_45,project_day_58,trk-10-survey-utility,samawah:SAM-TRK-L1-001:trk-10-survey-utility,,"Station foundations, platform, canopy, and access structure","Build platform, foundations, canopy/roof frame, ramps/lifts/escalator allowances, drainage, earthing, and public access civil works.",station civil supervisor; steelwork lead; accessibility lead; quality technician,Set out station; build platform; erect canopy; inspect access routes; record dimensions.,"concrete, steel canopy kit, platform edge kit, drainage and earthing materials",project_kit:station:civil-concrete; project_kit:station:steel-canopy; project_kit:station:platform-edge; project_kit:station:accessibility; project_kit:station:drainage-earthing,5,required,station shell ready for MEP and passenger systems,"structural inspection, access checklist, as-built survey",station QA lead,qa-24-stations-depots-plant,samawah:SAM-ST-002:qa-24-stations-depots-plant,samawah:SAM-ST-002:st-10-civil-structure:VERIFY,required,yes,planned,attention,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
samawah:SAM-EN-003:en-20-energy-commission,samawah,SAM-EN-003,energy site at line-1-0295-0517-s003449,energy,line-1,en-20-energy-commission,energy,20,energy crew,5,46,50,project_day_46,project_day_50,en-10-energy-build,samawah:SAM-EN-003:en-10-energy-build,,Energy site commissioning and charger proof,"Commission PV, BESS, charger, protection, EMS/SCADA telemetry, load test, and train charging interface.",commissioning lead; electrical supervisor; software technician; quality technician,Run protection test; commission EMS; load test charger; prove train interface; sign handback.,"commissioning test script, SCADA/EMS config, charger interface, train or load bank",project_kit:energy:commissioning-tools; project_kit:energy:scada-ems-config; project_kit:energy:load-bank; project_kit:energy:charger-interface,4,required,energy site released for trial running,"commissioning report, load test, telemetry proof, handback certificate",commissioning manager,qa-25-power-energy,samawah:SAM-EN-003:qa-25-power-energy,samawah:SAM-EN-003:en-20-energy-commission:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
samawah:SAM-ST-001:st-20-mep-passenger-systems,samawah,SAM-ST-001,الشنابرة,station,line-1,st-20-mep-passenger-systems,stations,20,station systems crew,10,46,55,project_day_46,project_day_55,st-10-civil-structure,samawah:SAM-ST-001:st-10-civil-structure,,"Station MEP, passenger systems, fare, and safety fit-out","Install lighting, power, earthing, CCTV, PA/PIS, fare equipment, emergency devices, wayfinding, and local network cabinets.",electrical supervisor; systems technician; fare-system technician; quality technician,Install MEP; terminate cabinets; configure devices; test passenger systems; close punch list.,"electrical kit, network cabinet, PIS/PA/CCTV kit, fare kit, signage kit",project_kit:station:electrical-mep; project_kit:station:network-cabinet; project_kit:station:pis-pa-cctv; project_kit:station:fare-kit; project_kit:station:signage,5,required,station ready for integrated commissioning,"MEP test sheet, device register, fare/PIS test, fire/life-safety checklist",station QA lead,qa-24-stations-depots-plant,samawah:SAM-ST-001:qa-24-stations-depots-plant,samawah:SAM-ST-001:st-20-mep-passenger-systems:VERIFY,required,yes,planned,safety,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
samawah:SAM-TRK-L1-001:trk-10-survey-utility,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,line-1,trk-10-survey-utility,track-civil,10,corridor civil crew,4,47,50,project_day_47,project_day_50,sys-00-baseline-freeze,samawah:SAM-SYS-001:sys-00-baseline-freeze,,"Track section survey, permits, utilities, and access release","Confirm alignment, utility clashes, drainage path, traffic/access plan, laydown, and safe-work boundary for the section.",survey lead; civil supervisor; permit coordinator; safety officer,Set out control; mark utilities; confirm access; brief crew; upload permits.,"route survey, utility maps, traffic plan, possession plan",project_kit:track-civil:survey-control; project_kit:track-civil:utility-clearance; project_kit:track-civil:site-access,3,required,released section ready for civils,"survey control sheet, utility clearance, permit pack",civil QA lead,qa-20-survey-geotech,samawah:SAM-TRK-L1-001:qa-20-survey-geotech,samawah:SAM-TRK-L1-001:trk-10-survey-utility:VERIFY,required,yes,planned,safety,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction."
samawah:SAM-EN-005:en-10-energy-build,samawah,SAM-EN-005,energy site at line-1-0371-0479-s006059,energy,line-1,en-10-energy-build,energy,10,energy crew,10,49,58,project_day_49,project_day_58,sys-00-baseline-freeze,samawah:SAM-SYS-001:sys-00-baseline-freeze,,"PV, BESS, charger, switchgear, and earthing build","Install PV/BESS/charger equipment, protection, earthing, fire safety, and grid/PPA interface at the site.",electrical supervisor; PV technician; battery technician; quality technician,Install equipment; terminate protection; test earthing; inspect fire safety; record serials.,"PV kit, BESS kit, charger, switchgear, protection relays, earthing materials",project_kit:energy:pv-kit; project_kit:energy:bess-kit; project_kit:energy:charger; project_kit:energy:switchgear; project_kit:energy:protection-relays; project_kit:energy:earthing,6,required,energy site ready for commissioning,"earthing test, protection settings, equipment serials, fire-safety inspection",energy QA lead,qa-25-power-energy,samawah:SAM-EN-005:qa-25-power-energy,samawah:SAM-EN-005:en-10-energy-build:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
samawah:SAM-ST-003:st-10-civil-structure,samawah,SAM-ST-003,ام الهوش,station,line-1,st-10-civil-structure,stations,10,station civil crew,14,49,62,project_day_49,project_day_62,trk-10-survey-utility,samawah:SAM-TRK-L1-002:trk-10-survey-utility,,"Station foundations, platform, canopy, and access structure","Build platform, foundations, canopy/roof frame, ramps/lifts/escalator allowances, drainage, earthing, and public access civil works.",station civil supervisor; steelwork lead; accessibility lead; quality technician,Set out station; build platform; erect canopy; inspect access routes; record dimensions.,"concrete, steel canopy kit, platform edge kit, drainage and earthing materials",project_kit:station:civil-concrete; project_kit:station:steel-canopy; project_kit:station:platform-edge; project_kit:station:accessibility; project_kit:station:drainage-earthing,5,required,station shell ready for MEP and passenger systems,"structural inspection, access checklist, as-built survey",station QA lead,qa-24-stations-depots-plant,samawah:SAM-ST-003:qa-24-stations-depots-plant,samawah:SAM-ST-003:st-10-civil-structure:VERIFY,required,yes,planned,attention,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
samawah:SAM-EN-004:en-20-energy-commission,samawah,SAM-EN-004,energy site at line-1-0352-0525-s004655,energy,line-1,en-20-energy-commission,energy,20,energy crew,5,50,54,project_day_50,project_day_54,en-10-energy-build,samawah:SAM-EN-004:en-10-energy-build,,Energy site commissioning and charger proof,"Commission PV, BESS, charger, protection, EMS/SCADA telemetry, load test, and train charging interface.",commissioning lead; electrical supervisor; software technician; quality technician,Run protection test; commission EMS; load test charger; prove train interface; sign handback.,"commissioning test script, SCADA/EMS config, charger interface, train or load bank",project_kit:energy:commissioning-tools; project_kit:energy:scada-ems-config; project_kit:energy:load-bank; project_kit:energy:charger-interface,4,required,energy site released for trial running,"commissioning report, load test, telemetry proof, handback certificate",commissioning manager,qa-25-power-energy,samawah:SAM-EN-004:qa-25-power-energy,samawah:SAM-EN-004:en-20-energy-commission:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
samawah:SAM-ST-002:st-20-mep-passenger-systems,samawah,SAM-ST-002,جامعة ساوة,station,line-1,st-20-mep-passenger-systems,stations,20,station systems crew,10,50,59,project_day_50,project_day_59,st-10-civil-structure,samawah:SAM-ST-002:st-10-civil-structure,,"Station MEP, passenger systems, fare, and safety fit-out","Install lighting, power, earthing, CCTV, PA/PIS, fare equipment, emergency devices, wayfinding, and local network cabinets.",electrical supervisor; systems technician; fare-system technician; quality technician,Install MEP; terminate cabinets; configure devices; test passenger systems; close punch list.,"electrical kit, network cabinet, PIS/PA/CCTV kit, fare kit, signage kit",project_kit:station:electrical-mep; project_kit:station:network-cabinet; project_kit:station:pis-pa-cctv; project_kit:station:fare-kit; project_kit:station:signage,5,required,station ready for integrated commissioning,"MEP test sheet, device register, fare/PIS test, fire/life-safety checklist",station QA lead,qa-24-stations-depots-plant,samawah:SAM-ST-002:qa-24-stations-depots-plant,samawah:SAM-ST-002:st-20-mep-passenger-systems:VERIFY,required,yes,planned,safety,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
samawah:SAM-TRK-L1-002:trk-10-survey-utility,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,line-1,trk-10-survey-utility,track-civil,10,corridor civil crew,4,50,53,project_day_50,project_day_53,sys-00-baseline-freeze,samawah:SAM-SYS-001:sys-00-baseline-freeze,,"Track section survey, permits, utilities, and access release","Confirm alignment, utility clashes, drainage path, traffic/access plan, laydown, and safe-work boundary for the section.",survey lead; civil supervisor; permit coordinator; safety officer,Set out control; mark utilities; confirm access; brief crew; upload permits.,"route survey, utility maps, traffic plan, possession plan",project_kit:track-civil:survey-control; project_kit:track-civil:utility-clearance; project_kit:track-civil:site-access,3,required,released section ready for civils,"survey control sheet, utility clearance, permit pack",civil QA lead,qa-20-survey-geotech,samawah:SAM-TRK-L1-002:qa-20-survey-geotech,samawah:SAM-TRK-L1-002:trk-10-survey-utility:VERIFY,required,yes,planned,safety,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction."
samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,line-1,trk-20-subgrade-drainage,track-civil,20,corridor civil crew,10,52,61,project_day_52,project_day_61,trk-10-survey-utility,samawah:SAM-TRK-L1-001:trk-10-survey-utility,,"Subgrade, drainage, fencing, and foundations","Build formation, drainage, ducts, fence foundations, earthing points, and civil interfaces for track and wayside equipment.",civil supervisor; plant operator; drainage technician; quality technician,Prepare formation; install drainage; compact layers; inspect ducts; record as-built levels.,"aggregate, geotextile, ducting, drainage materials, fencing materials",project_kit:track-civil:aggregate; project_kit:track-civil:geotextile; project_kit:track-civil:ducting; project_kit:track-civil:drainage; project_kit:track-civil:fencing,5,required,accepted subgrade and drainage ready for trackform,"compaction results, level survey, drainage inspection, as-built photos",civil QA lead,qa-21-earthworks-drainage,samawah:SAM-TRK-L1-001:qa-21-earthworks-drainage,samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage:VERIFY,required,yes,planned,attention,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation."
samawah:SAM-EN-006:en-10-energy-build,samawah,SAM-EN-006,energy site at line-1-0419-0475-s007291,energy,line-1,en-10-energy-build,energy,10,energy crew,10,53,62,project_day_53,project_day_62,sys-00-baseline-freeze,samawah:SAM-SYS-001:sys-00-baseline-freeze,,"PV, BESS, charger, switchgear, and earthing build","Install PV/BESS/charger equipment, protection, earthing, fire safety, and grid/PPA interface at the site.",electrical supervisor; PV technician; battery technician; quality technician,Install equipment; terminate protection; test earthing; inspect fire safety; record serials.,"PV kit, BESS kit, charger, switchgear, protection relays, earthing materials",project_kit:energy:pv-kit; project_kit:energy:bess-kit; project_kit:energy:charger; project_kit:energy:switchgear; project_kit:energy:protection-relays; project_kit:energy:earthing,6,required,energy site ready for commissioning,"earthing test, protection settings, equipment serials, fire-safety inspection",energy QA lead,qa-25-power-energy,samawah:SAM-EN-006:qa-25-power-energy,samawah:SAM-EN-006:en-10-energy-build:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
samawah:SAM-ST-004:st-10-civil-structure,samawah,SAM-ST-004,كلية التربية الاساسية,station,line-1,st-10-civil-structure,stations,10,station civil crew,14,53,66,project_day_53,project_day_66,trk-10-survey-utility,samawah:SAM-TRK-L1-003:trk-10-survey-utility,,"Station foundations, platform, canopy, and access structure","Build platform, foundations, canopy/roof frame, ramps/lifts/escalator allowances, drainage, earthing, and public access civil works.",station civil supervisor; steelwork lead; accessibility lead; quality technician,Set out station; build platform; erect canopy; inspect access routes; record dimensions.,"concrete, steel canopy kit, platform edge kit, drainage and earthing materials",project_kit:station:civil-concrete; project_kit:station:steel-canopy; project_kit:station:platform-edge; project_kit:station:accessibility; project_kit:station:drainage-earthing,5,required,station shell ready for MEP and passenger systems,"structural inspection, access checklist, as-built survey",station QA lead,qa-24-stations-depots-plant,samawah:SAM-ST-004:qa-24-stations-depots-plant,samawah:SAM-ST-004:st-10-civil-structure:VERIFY,required,yes,planned,attention,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
samawah:SAM-TRK-L1-003:trk-10-survey-utility,samawah,SAM-TRK-L1-003,line-1 section 003,track-section,line-1,trk-10-survey-utility,track-civil,10,corridor civil crew,4,53,56,project_day_53,project_day_56,sys-00-baseline-freeze,samawah:SAM-SYS-001:sys-00-baseline-freeze,,"Track section survey, permits, utilities, and access release","Confirm alignment, utility clashes, drainage path, traffic/access plan, laydown, and safe-work boundary for the section.",survey lead; civil supervisor; permit coordinator; safety officer,Set out control; mark utilities; confirm access; brief crew; upload permits.,"route survey, utility maps, traffic plan, possession plan",project_kit:track-civil:survey-control; project_kit:track-civil:utility-clearance; project_kit:track-civil:site-access,3,required,released section ready for civils,"survey control sheet, utility clearance, permit pack",civil QA lead,qa-20-survey-geotech,samawah:SAM-TRK-L1-003:qa-20-survey-geotech,samawah:SAM-TRK-L1-003:trk-10-survey-utility:VERIFY,required,yes,planned,safety,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction."
samawah:SAM-EN-005:en-20-energy-commission,samawah,SAM-EN-005,energy site at line-1-0371-0479-s006059,energy,line-1,en-20-energy-commission,energy,20,energy crew,5,54,58,project_day_54,project_day_58,en-10-energy-build,samawah:SAM-EN-005:en-10-energy-build,,Energy site commissioning and charger proof,"Commission PV, BESS, charger, protection, EMS/SCADA telemetry, load test, and train charging interface.",commissioning lead; electrical supervisor; software technician; quality technician,Run protection test; commission EMS; load test charger; prove train interface; sign handback.,"commissioning test script, SCADA/EMS config, charger interface, train or load bank",project_kit:energy:commissioning-tools; project_kit:energy:scada-ems-config; project_kit:energy:load-bank; project_kit:energy:charger-interface,4,required,energy site released for trial running,"commissioning report, load test, telemetry proof, handback certificate",commissioning manager,qa-25-power-energy,samawah:SAM-EN-005:qa-25-power-energy,samawah:SAM-EN-005:en-20-energy-commission:VERIFY,required,yes,planned,safety,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging."
samawah:SAM-ST-003:st-20-mep-passenger-systems,samawah,SAM-ST-003,ام الهوش,station,line-1,st-20-mep-passenger-systems,stations,20,station systems crew,10,54,63,project_day_54,project_day_63,st-10-civil-structure,samawah:SAM-ST-003:st-10-civil-structure,,"Station MEP, passenger systems, fare, and safety fit-out","Install lighting, power, earthing, CCTV, PA/PIS, fare equipment, emergency devices, wayfinding, and local network cabinets.",electrical supervisor; systems technician; fare-system technician; quality technician,Install MEP; terminate cabinets; configure devices; test passenger systems; close punch list.,"electrical kit, network cabinet, PIS/PA/CCTV kit, fare kit, signage kit",project_kit:station:electrical-mep; project_kit:station:network-cabinet; project_kit:station:pis-pa-cctv; project_kit:station:fare-kit; project_kit:station:signage,5,required,station ready for integrated commissioning,"MEP test sheet, device register, fare/PIS test, fire/life-safety checklist",station QA lead,qa-24-stations-depots-plant,samawah:SAM-ST-003:qa-24-stations-depots-plant,samawah:SAM-ST-003:st-20-mep-passenger-systems:VERIFY,required,yes,planned,safety,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening."
