qa_uid,city,asset_id,asset_name,asset_type,line,gate_id,domain,stage,hold_point,evidence_required,release_authority,status
mosul:MOS-RS-L1-023:qa-10-carbody-structure,mosul,MOS-RS-L1-023,line-1 trainset 023,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-024:qa-10-carbody-structure,mosul,MOS-RS-L1-024,line-1 trainset 024,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-025:qa-10-carbody-structure,mosul,MOS-RS-L1-025,line-1 trainset 025,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-026:qa-10-carbody-structure,mosul,MOS-RS-L1-026,line-1 trainset 026,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-027:qa-10-carbody-structure,mosul,MOS-RS-L1-027,line-1 trainset 027,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-028:qa-10-carbody-structure,mosul,MOS-RS-L1-028,line-1 trainset 028,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-029:qa-10-carbody-structure,mosul,MOS-RS-L1-029,line-1 trainset 029,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-030:qa-10-carbody-structure,mosul,MOS-RS-L1-030,line-1 trainset 030,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-031:qa-10-carbody-structure,mosul,MOS-RS-L1-031,line-1 trainset 031,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-032:qa-10-carbody-structure,mosul,MOS-RS-L1-032,line-1 trainset 032,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-033:qa-10-carbody-structure,mosul,MOS-RS-L1-033,line-1 trainset 033,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-034:qa-10-carbody-structure,mosul,MOS-RS-L1-034,line-1 trainset 034,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-035:qa-10-carbody-structure,mosul,MOS-RS-L1-035,line-1 trainset 035,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-036:qa-10-carbody-structure,mosul,MOS-RS-L1-036,line-1 trainset 036,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-037:qa-10-carbody-structure,mosul,MOS-RS-L1-037,line-1 trainset 037,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-038:qa-10-carbody-structure,mosul,MOS-RS-L1-038,line-1 trainset 038,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-039:qa-10-carbody-structure,mosul,MOS-RS-L1-039,line-1 trainset 039,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-040:qa-10-carbody-structure,mosul,MOS-RS-L1-040,line-1 trainset 040,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-041:qa-10-carbody-structure,mosul,MOS-RS-L1-041,line-1 trainset 041,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-042:qa-10-carbody-structure,mosul,MOS-RS-L1-042,line-1 trainset 042,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-043:qa-10-carbody-structure,mosul,MOS-RS-L1-043,line-1 trainset 043,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-044:qa-10-carbody-structure,mosul,MOS-RS-L1-044,line-1 trainset 044,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-045:qa-10-carbody-structure,mosul,MOS-RS-L1-045,line-1 trainset 045,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-046:qa-10-carbody-structure,mosul,MOS-RS-L1-046,line-1 trainset 046,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-047:qa-10-carbody-structure,mosul,MOS-RS-L1-047,line-1 trainset 047,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-048:qa-10-carbody-structure,mosul,MOS-RS-L1-048,line-1 trainset 048,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-049:qa-10-carbody-structure,mosul,MOS-RS-L1-049,line-1 trainset 049,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-050:qa-10-carbody-structure,mosul,MOS-RS-L1-050,line-1 trainset 050,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-051:qa-10-carbody-structure,mosul,MOS-RS-L1-051,line-1 trainset 051,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-052:qa-10-carbody-structure,mosul,MOS-RS-L1-052,line-1 trainset 052,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-053:qa-10-carbody-structure,mosul,MOS-RS-L1-053,line-1 trainset 053,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-054:qa-10-carbody-structure,mosul,MOS-RS-L1-054,line-1 trainset 054,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-055:qa-10-carbody-structure,mosul,MOS-RS-L1-055,line-1 trainset 055,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-056:qa-10-carbody-structure,mosul,MOS-RS-L1-056,line-1 trainset 056,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-057:qa-10-carbody-structure,mosul,MOS-RS-L1-057,line-1 trainset 057,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-058:qa-10-carbody-structure,mosul,MOS-RS-L1-058,line-1 trainset 058,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-059:qa-10-carbody-structure,mosul,MOS-RS-L1-059,line-1 trainset 059,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-060:qa-10-carbody-structure,mosul,MOS-RS-L1-060,line-1 trainset 060,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-061:qa-10-carbody-structure,mosul,MOS-RS-L1-061,line-1 trainset 061,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-062:qa-10-carbody-structure,mosul,MOS-RS-L1-062,line-1 trainset 062,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-063:qa-10-carbody-structure,mosul,MOS-RS-L1-063,line-1 trainset 063,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-064:qa-10-carbody-structure,mosul,MOS-RS-L1-064,line-1 trainset 064,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-065:qa-10-carbody-structure,mosul,MOS-RS-L1-065,line-1 trainset 065,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-066:qa-10-carbody-structure,mosul,MOS-RS-L1-066,line-1 trainset 066,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-067:qa-10-carbody-structure,mosul,MOS-RS-L1-067,line-1 trainset 067,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-068:qa-10-carbody-structure,mosul,MOS-RS-L1-068,line-1 trainset 068,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-069:qa-10-carbody-structure,mosul,MOS-RS-L1-069,line-1 trainset 069,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-070:qa-10-carbody-structure,mosul,MOS-RS-L1-070,line-1 trainset 070,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-071:qa-10-carbody-structure,mosul,MOS-RS-L1-071,line-1 trainset 071,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
mosul:MOS-RS-L1-072:qa-10-carbody-structure,mosul,MOS-RS-L1-072,line-1 trainset 072,rolling-stock,line-1,qa-10-carbody-structure,rolling-stock,fabrication,"Dimensional survey, weld traceability, NDT sample, corrosion-protection record, and crash/load evidence accepted before fit-out.","EN 15085 weld pack, welder qualifications, material certificates, dimensional report, NDT report, coating record",rolling-stock QA lead,planned
