sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,40.68401837,-14.57121195,0..30cm,24.0,10.0,36.0,62.0,41.0,87.0,14.0,2.0,29.0,1360.0,1190.0,1540.0,6.0,3.8,9.5,6.7,5.4,7.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,40.68401837,-14.57121195,30..60cm,27.0,9.0,42.0,59.0,33.0,86.0,15.0,0.0,29.0,1460.0,1310.0,1640.0,3.6,1.9,5.7,6.9,5.7,8.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,40.68401837,-14.57121195,60..100cm,27.0,9.0,46.0,58.0,29.0,89.0,15.0,0.0,34.0,1510.0,1280.0,1700.0,2.9,1.2,5.9,7.0,5.7,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.427,40.67953833,-14.5711873,0..30cm,26.0,11.0,35.0,61.0,39.0,87.0,13.0,1.0,25.0,1380.0,1230.0,1520.0,6.9,3.9,10.9,6.6,5.6,7.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.427,40.67953833,-14.5711873,30..60cm,28.0,11.0,43.0,57.0,32.0,86.0,14.0,0.0,29.0,1470.0,1340.0,1590.0,3.7,1.9,6.2,6.8,5.8,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.427,40.67953833,-14.5711873,60..100cm,28.0,10.0,47.0,57.0,25.0,87.0,15.0,0.0,34.0,1500.0,1360.0,1640.0,3.0,1.1,6.0,7.0,5.6,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.854,40.67566596,-14.56386676,0..30cm,25.0,11.0,39.0,60.0,33.0,88.0,15.0,1.0,28.0,1410.0,1300.0,1570.0,6.7,3.5,11.4,6.7,5.7,7.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.854,40.67566596,-14.56386676,30..60cm,27.0,9.0,40.0,59.0,31.0,90.0,14.0,0.0,31.0,1460.0,1350.0,1600.0,3.8,2.3,6.7,6.9,6.1,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.854,40.67566596,-14.56386676,60..100cm,27.0,10.0,40.0,58.0,26.0,90.0,15.0,0.0,37.0,1480.0,1340.0,1630.0,3.3,1.4,6.7,7.1,6.0,8.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.281,40.67295715,-14.5563478,0..30cm,24.0,9.0,40.0,63.0,38.0,88.0,13.0,0.0,28.0,1410.0,1290.0,1530.0,6.0,3.2,11.7,6.6,5.5,7.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.281,40.67295715,-14.5563478,30..60cm,25.0,7.0,40.0,62.0,37.0,88.0,13.0,0.0,27.0,1470.0,1370.0,1600.0,3.6,1.7,8.5,6.8,5.9,7.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.281,40.67295715,-14.5563478,60..100cm,25.0,7.0,44.0,61.0,35.0,88.0,14.0,0.0,30.0,1500.0,1340.0,1620.0,3.6,1.1,7.8,6.9,5.8,8.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4001.708,40.67232499,-14.54756571,0..30cm,21.0,7.0,32.0,71.0,49.0,91.0,8.0,0.0,20.0,1370.0,1180.0,1540.0,5.6,3.2,10.3,6.7,5.7,7.6
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4001.708,40.67232499,-14.54756571,30..60cm,23.0,6.0,38.0,70.0,47.0,90.0,7.0,0.0,20.0,1460.0,1240.0,1610.0,3.9,1.7,8.2,6.8,5.7,7.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4001.708,40.67232499,-14.54756571,60..100cm,23.0,6.0,37.0,69.0,46.0,91.0,8.0,0.0,23.0,1510.0,1220.0,1720.0,3.4,1.2,8.7,7.0,5.7,8.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5002.134,40.6747548,-14.54287078,0..30cm,26.0,9.0,40.0,59.0,35.0,89.0,15.0,0.0,29.0,1300.0,1170.0,1460.0,6.9,4.2,11.6,6.7,5.7,7.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5002.134,40.6747548,-14.54287078,30..60cm,29.0,9.0,43.0,54.0,19.0,89.0,17.0,0.0,34.0,1420.0,1260.0,1600.0,4.2,1.9,7.6,6.8,5.7,7.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5002.134,40.6747548,-14.54287078,60..100cm,29.0,7.0,45.0,54.0,22.0,89.0,18.0,0.0,37.0,1460.0,1260.0,1750.0,3.5,0.9,8.3,6.9,5.7,8.0
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6002.561,40.6791309,-14.54013756,0..30cm,27.0,11.0,42.0,57.0,33.0,86.0,16.0,2.0,28.0,1310.0,1200.0,1470.0,8.1,5.0,12.3,6.7,5.7,7.6
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6002.561,40.6791309,-14.54013756,30..60cm,30.0,11.0,44.0,53.0,21.0,84.0,17.0,0.0,30.0,1430.0,1260.0,1600.0,4.7,2.7,7.8,6.9,5.9,7.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6002.561,40.6791309,-14.54013756,60..100cm,29.0,9.0,46.0,52.0,20.0,84.0,18.0,2.0,40.0,1460.0,1240.0,1720.0,3.5,1.6,7.1,7.1,5.8,8.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7002.988,40.67826449,-14.5321013,0..30cm,24.0,9.0,39.0,63.0,39.0,87.0,13.0,1.0,25.0,1400.0,1250.0,1580.0,6.8,4.0,10.7,6.5,5.7,7.6
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7002.988,40.67826449,-14.5321013,30..60cm,25.0,8.0,40.0,61.0,39.0,90.0,14.0,0.0,26.0,1470.0,1290.0,1600.0,3.7,2.3,6.7,6.8,5.7,7.9
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7002.988,40.67826449,-14.5321013,60..100cm,25.0,8.0,42.0,60.0,39.0,89.0,14.0,0.0,33.0,1510.0,1320.0,1680.0,3.4,1.4,7.1,7.0,5.7,8.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7247.15,40.67845009,-14.52997065,0..30cm,25.0,9.0,40.0,61.0,44.0,87.0,14.0,3.0,23.0,1370.0,1220.0,1530.0,7.1,4.9,11.5,6.5,5.7,7.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7247.15,40.67845009,-14.52997065,30..60cm,26.0,10.0,40.0,60.0,40.0,89.0,14.0,0.0,28.0,1430.0,1240.0,1580.0,4.3,2.9,6.8,6.8,5.8,7.8
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7247.15,40.67845009,-14.52997065,60..100cm,26.0,10.0,42.0,60.0,40.0,87.0,14.0,0.0,33.0,1460.0,1260.0,1670.0,3.7,1.6,7.1,7.1,5.8,8.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8003.415,40.68345897,-14.52694276,0..30cm,28.0,14.0,42.0,55.0,23.0,84.0,17.0,3.0,32.0,1440.0,1300.0,1600.0,6.6,3.9,10.8,6.6,5.7,7.6
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8003.415,40.68345897,-14.52694276,30..60cm,28.0,9.0,44.0,55.0,23.0,86.0,16.0,0.0,32.0,1480.0,1370.0,1600.0,3.4,1.8,5.5,6.9,6.0,7.8
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8003.415,40.68345897,-14.52694276,60..100cm,28.0,8.0,46.0,55.0,23.0,87.0,17.0,0.0,38.0,1500.0,1320.0,1630.0,3.0,1.1,6.1,7.2,5.9,8.3
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9003.842,40.6894273,-14.52118136,0..30cm,26.0,10.0,39.0,59.0,35.0,88.0,15.0,1.0,32.0,1440.0,1300.0,1580.0,6.0,3.8,10.2,6.7,5.6,7.7
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9003.842,40.6894273,-14.52118136,30..60cm,27.0,9.0,42.0,57.0,28.0,86.0,16.0,0.0,32.0,1480.0,1370.0,1600.0,3.6,1.9,5.6,6.9,5.9,8.0
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9003.842,40.6894273,-14.52118136,60..100cm,27.0,9.0,44.0,56.0,24.0,86.0,17.0,0.0,39.0,1520.0,1370.0,1700.0,3.1,1.0,6.5,7.1,5.8,8.1
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10004.269,40.69589735,-14.51802362,0..30cm,26.0,9.0,40.0,60.0,33.0,87.0,15.0,0.0,30.0,1350.0,1190.0,1530.0,7.7,5.4,12.2,6.6,5.9,7.6
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10004.269,40.69589735,-14.51802362,30..60cm,27.0,9.0,42.0,59.0,34.0,86.0,14.0,0.0,31.0,1420.0,1270.0,1530.0,4.9,2.9,7.8,6.9,5.8,7.9
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10004.269,40.69589735,-14.51802362,60..100cm,27.0,9.0,42.0,59.0,30.0,86.0,15.0,0.0,34.0,1450.0,1260.0,1700.0,3.6,1.7,6.7,7.1,5.8,8.3
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11004.696,40.69812466,-14.51003771,0..30cm,24.0,9.0,35.0,62.0,35.0,87.0,14.0,0.0,30.0,1350.0,1200.0,1520.0,7.7,5.1,12.1,6.6,5.5,7.6
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11004.696,40.69812466,-14.51003771,30..60cm,26.0,9.0,39.0,60.0,32.0,89.0,14.0,0.0,32.0,1410.0,1270.0,1560.0,5.2,3.0,7.6,6.8,5.7,7.9
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11004.696,40.69812466,-14.51003771,60..100cm,26.0,8.0,40.0,60.0,33.0,89.0,15.0,0.0,34.0,1430.0,1260.0,1650.0,3.7,1.4,6.8,7.1,5.8,8.2
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12005.123,40.697011,-14.50160094,0..30cm,24.0,9.0,35.0,62.0,37.0,90.0,14.0,0.0,32.0,1450.0,1340.0,1580.0,6.1,3.7,9.8,6.7,5.7,7.5
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12005.123,40.697011,-14.50160094,30..60cm,26.0,8.0,39.0,59.0,30.0,88.0,15.0,0.0,32.0,1480.0,1360.0,1600.0,4.0,2.3,6.4,7.0,6.1,7.9
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12005.123,40.697011,-14.50160094,60..100cm,27.0,8.0,43.0,57.0,30.0,90.0,16.0,0.0,35.0,1490.0,1310.0,1630.0,3.4,1.3,6.7,7.2,6.2,8.3
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13005.55,40.69661693,-14.49434424,0..30cm,24.0,11.0,35.0,62.0,36.0,88.0,14.0,0.0,30.0,1420.0,1320.0,1560.0,5.9,3.8,9.7,6.6,5.5,7.6
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13005.55,40.69661693,-14.49434424,30..60cm,27.0,9.0,39.0,58.0,34.0,88.0,15.0,0.0,31.0,1470.0,1390.0,1600.0,3.9,2.2,6.5,6.9,5.7,7.9
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13005.55,40.69661693,-14.49434424,60..100cm,27.0,8.0,46.0,57.0,33.0,88.0,16.0,0.0,36.0,1510.0,1360.0,1630.0,3.0,1.3,5.9,7.1,5.8,8.3
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14005.977,40.70432721,-14.49069198,0..30cm,23.0,9.0,34.0,64.0,36.0,91.0,13.0,0.0,29.0,1370.0,1210.0,1520.0,7.0,4.2,13.2,6.5,5.7,7.5
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14005.977,40.70432721,-14.49069198,30..60cm,25.0,8.0,39.0,62.0,32.0,89.0,13.0,0.0,32.0,1430.0,1230.0,1620.0,4.6,2.8,7.1,6.9,6.1,7.8
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14005.977,40.70432721,-14.49069198,60..100cm,26.0,8.0,42.0,60.0,29.0,88.0,15.0,0.0,35.0,1490.0,1310.0,1740.0,3.5,1.6,6.4,7.2,6.1,8.2
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,14494.3,40.70759072,-14.48770765,0..30cm,24.0,9.0,35.0,62.0,40.0,88.0,14.0,0.0,27.0,1400.0,1290.0,1510.0,6.5,4.2,9.8,6.5,5.7,7.4
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,14494.3,40.70759072,-14.48770765,30..60cm,26.0,8.0,41.0,59.0,34.0,89.0,15.0,0.0,27.0,1450.0,1350.0,1590.0,4.4,2.7,6.6,6.9,6.1,7.8
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,14494.3,40.70759072,-14.48770765,60..100cm,27.0,9.0,46.0,58.0,29.0,90.0,16.0,0.0,35.0,1500.0,1310.0,1700.0,3.4,1.6,6.0,7.2,6.1,8.3
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,40.69923831,-14.55627476,0..30cm,23.0,9.0,34.0,65.0,41.0,89.0,12.0,1.0,27.0,1420.0,1300.0,1520.0,6.3,4.0,10.8,6.7,5.7,7.7
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,40.69923831,-14.55627476,30..60cm,24.0,8.0,38.0,64.0,37.0,90.0,12.0,0.0,29.0,1460.0,1310.0,1600.0,3.6,1.6,6.5,6.9,5.8,7.9
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,40.69923831,-14.55627476,60..100cm,24.0,8.0,39.0,63.0,35.0,90.0,13.0,0.0,33.0,1510.0,1340.0,1650.0,3.1,1.2,5.9,7.0,5.7,8.2
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1000.664,40.69528942,-14.55164519,0..30cm,25.0,10.0,37.0,60.0,40.0,86.0,15.0,3.0,29.0,1370.0,1230.0,1490.0,6.3,3.9,9.9,6.7,5.4,7.8
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1000.664,40.69528942,-14.55164519,30..60cm,27.0,10.0,38.0,58.0,37.0,83.0,15.0,2.0,26.0,1450.0,1300.0,1570.0,3.7,2.3,6.1,6.9,5.8,7.9
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1000.664,40.69528942,-14.55164519,60..100cm,27.0,8.0,42.0,58.0,32.0,86.0,16.0,2.0,33.0,1500.0,1300.0,1660.0,3.4,1.4,6.8,7.1,5.8,8.3
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2001.328,40.68698117,-14.55321533,0..30cm,25.0,10.0,34.0,61.0,42.0,88.0,14.0,0.0,26.0,1400.0,1230.0,1520.0,6.3,3.8,10.2,6.7,5.5,7.7
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2001.328,40.68698117,-14.55321533,30..60cm,26.0,9.0,40.0,59.0,30.0,88.0,15.0,0.0,30.0,1460.0,1330.0,1580.0,3.4,2.0,5.7,6.9,5.7,7.9
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2001.328,40.68698117,-14.55321533,60..100cm,26.0,9.0,43.0,58.0,26.0,88.0,16.0,0.0,36.0,1500.0,1340.0,1630.0,3.2,1.4,5.9,7.1,5.7,8.1
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3001.992,40.68427413,-14.54626468,0..30cm,24.0,11.0,34.0,63.0,44.0,86.0,13.0,1.0,25.0,1410.0,1260.0,1550.0,6.7,4.1,9.5,6.6,5.7,7.7
